-x-------,-3
ox-------,-2
-xo------,-2
--x------,-3
xox------,-1
---x-----,-3
o--x-----,-2
ox-x-----,-1
o-xx-----,-1
-oxx-----,-1
xxo-o----,-4
xox-o----,-4
oxx-o----,-4
ox-xo----,-4
-xoxo----,-4
o-xxo----,-4
-oxxo----,-4
---x-o---,-2
x--x-o---,-1
-x-x-o---,-1
ox-x-o---,-2
--xx-o---,-1
o-xx-o---,-2
xoxx-o---,-3
oxxx-o---,-3
-xxxoo---,-3
oxxxoo---,-2
o--xxo---,-4
ox-xxo---,-3
--oxxo---,-4
o-xxxo---,-3
-oxxxo---,-3
-----x---,-3
xo---x---,-1
--o--x---,-2
x-o--x---,-1
-xo--x---,-1
---o-x---,-2
x--o-x---,-1
-x-o-x---,-1
x-oo-x---,-2
-xoo-x---,-2
xxoo-x---,-3
--xo-x---,-1
xoxo-x---,-3
xo--ox---,-4
ox--ox---,-4
x-o-ox---,-4
-xo-ox---,-4
xx-oox---,-3
xxooox---,-2
o--oxx---,-4
xo-oxx---,-3
--ooxx---,-4
x-ooxx---,-3
-xooxx---,-3
--xx--o--,-1
x--xo-o--,-4
-x-xo-o--,-4
--xxo-o--,-4
x-xxo-o--,-3
xoxxo-o--,-2
-xxxo-o--,-3
oxxxo-o--,-2
o-x-x-o--,-4
xox-x-o--,-3
o-xxx-o--,-3
-oxxx-o--,-3
x--x-oo--,-2
-x-x-oo--,-2
--xx-oo--,-2
x-xx-oo--,-3
xoxx-oo--,-2
-xxx-oo--,-3
oxxx-oo--,-2
---xxoo--,-4
-x-xxoo--,-3
--xxxoo--,-3
o-xxxoo--,-2
-oxxxoo--,-2
xoxxxoo--,-1
oxxxxoo--,-1
xox--xo--,-3
---oxxo--,-4
x--oxxo--,-3
xoxoxxo--,-1
-xo---x--,-1
-ox---x--,-1
x--o--x--,-1
-x-o--x--,-1
--xo--x--,-1
ox--o-x--,-4
-xo-o-x--,-4
xxo-o-x--,-3
-ox-o-x--,-4
x--oo-x--,-4
-x-oo-x--,-4
xxooo-x--,-2
--xoo-x--,-4
o--xo-x--,-4
-xoxo-x--,-3
oxoxo-x--,-2
o-o-x-x--,-4
oxo-x-x--,-3
x-oox-x--,-3
-xoox-x--,-3
-x---ox--,-1
--x--ox--,-1
---x-ox--,-1
o--x-ox--,-2
oxox-ox--,-2
o-xx-ox--,-3
-x--oox--,-4
--x-oox--,-4
-x-xoox--,-3
ox-xoox--,-2
--xxoox--,-3
o-xxoox--,-2
o----xx--,-1
-o---xx--,-1
--o--xx--,-1
o-o--xx--,-4
oxo--xx--,-3
---o-xx--,-1
xo-o-xx--,-3
--oo-xx--,-2
x-oo-xx--,-3
-xoo-xx--,-3
-o--oxx--,-4
--o-oxx--,-4
x-o-oxx--,-3
-xo-oxx--,-3
oxo-oxx--,-2
x--ooxx--,-3
xo-ooxx--,-2
-x-ooxx--,-3
x-oooxx--,-2
-xoooxx--,-2
xxoooxx--,-1
--xooxx--,-3
o--oxxx--,-3
-o-oxxx--,-3
--ooxxx--,-3
o-ooxxx--,-2
-oooxxx--,-2
xoooxxx--,-1
oxooxxx--,-1
-x-----o-,-2
xx-----o-,-1
xxo----o-,-2
-xx----o-,-1
oxx----o-,-2
-x-x---o-,-1
ox-x---o-,-2
-xox---o-,-2
--xx---o-,-1
--xxo--o-,-4
-xxxo--o-,-3
oxxxo--o-,-2
ox--x--o-,-4
-xo-x--o-,-4
ox-xx--o-,-3
-xoxx--o-,-3
-xxx-o-o-,-3
oxxx-o-o-,-2
ox-xxo-o-,-2
-xoxxo-o-,-2
--xxxo-o-,-3
oxxxxo-o-,-1
x----x-o-,-1
-x---x-o-,-1
ox---x-o-,-2
-xo--x-o-,-2
xx-o-x-o-,-3
xxoo-x-o-,-2
ox-x-x-o-,-3
-xox-x-o-,-3
x---ox-o-,-4
xx--ox-o-,-3
xxo-ox-o-,-2
ox-xox-o-,-2
-xoxox-o-,-2
ox--xx-o-,-3
-xo-xx-o-,-3
x--oxx-o-,-3
ox-oxx-o-,-2
-xooxx-o-,-2
xxooxx-o-,-1
oxxx--oo-,-2
-x--x-oo-,-4
-x-xxooo-,-2
--xxxooo-,-2
-x----xo-,-1
ox----xo-,-2
-xo---xo-,-2
